Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2020-05-08,29.98,1.0,NE,"DMoose Hanging Ab Straps for Pull Up Bar & Abdominal Muscle Building, Rip Resistant and Padded Arm Support for Ab Workout, Ab Sling Straps for Knee and Leg Raises, Pull Up Straps for Men and Women",B07778BQRJ,ABDOMINAL_EXERCISER,R_3sA19vqjjKuEHgA,29.98
2020-02-16,7.58,1.0,NE,1984,0451524934,ABIS_BOOK,R_1MQJZk1ALfEkRX3,7.58
2020-08-16,5.99,2.0,NE,365 Pocket Prayers for Women: Guidance and Wisdom for Each New Day,1496411714,ABIS_BOOK,R_3oQSXNZTcp9yWWl,11.98
2021-09-25,5.99,2.0,NE,365 Pocket Prayers for Women: Guidance and Wisdom for Each New Day,1496411714,ABIS_BOOK,R_3oQSXNZTcp9yWWl,11.98
2018-12-01,13.12,1.0,NE,"5,000 Awesome Facts (About Everything!)",1426310498,ABIS_BOOK,R_3oQSXNZTcp9yWWl,13.12
2021-03-10,15.29,1.0,NE,5-Ingredient Cooking for Two: 100+ Recipes Portioned for Pairs,1646110986,ABIS_BOOK,R_3oQSXNZTcp9yWWl,15.29
2019-09-01,11.06,1.0,NE,"500 Greatest Albums of All Times, The",1932958614,ABIS_BOOK,R_4H1P1VB5jWW4sY9,11.06
2019-09-09,9.4,1.0,NE,A Big Mooncake for Little Star,0316404489,ABIS_BOOK,R_3IaWiqm9a2BnlIF,9.4
2022-02-26,6.99,1.0,NE,A Book of Sleep,0375866183,ABIS_BOOK,R_2ugDyrE1yi1FjvH,6.99
2020-12-21,11.59,1.0,NE,A Circle of Quiet,0062545035,ABIS_BOOK,R_3rHSccsh0mlkeuy,11.59
2018-11-23,19.95,1.0,NE,A Daily Defense: 365 Days ( plus one) to Becoming a Better Apologist,1683570049,ABIS_BOOK,R_1KrGWfbBFSsqxlt,19.95
2022-11-09,15.95,1.0,NE,A Guide Book of US Coins 2023 (Guide Book of United States Coins),079484961X,ABIS_BOOK,R_3sA19vqjjKuEHgA,15.95
2019-11-10,14.95,1.0,NE,"A Hangman's Diary: The Journal of Master Franz Schmidt, Public Executioner of Nuremberg, 1573-1617",1629144800,ABIS_BOOK,R_12mdsq5k8OiJ8ji,14.95
2022-07-21,1.9,1.0,NE,A Little History of Philosophy (Little Histories),0300187793,ABIS_BOOK,R_3oQSXNZTcp9yWWl,1.9
2018-01-15,19.15,1.0,NE,A Pocket Style Manual,1457642328,ABIS_BOOK,R_8IeIAMii7jy4OdP,19.15
2019-01-25,44.95,1.0,NE,A Preparation Guide for the Assessment Center Method,0398087512,ABIS_BOOK,R_2ugDyrE1yi1FjvH,44.95
2018-06-27,9.99,1.0,NE,A Private Family Matter: A Memoir,0743487893,ABIS_BOOK,R_XYeZSVkzBQBQtBD,9.99
2022-06-28,34.98,1.0,NE,A Silent Voice Complete Collector's Edition 1,1646512499,ABIS_BOOK,R_23eD9Db68xpXl0d,34.98
2022-07-06,40.49,1.0,NE,A Silent Voice Complete Collector's Edition 2,1646514068,ABIS_BOOK,R_23eD9Db68xpXl0d,40.49
2020-05-09,49.42,1.0,NE,A Silent Voice Complete Series Box Set,1632366436,ABIS_BOOK,R_23eD9Db68xpXl0d,49.42
2019-08-26,16.0,1.0,NE,A Sunday in Purgatory,0996972641,ABIS_BOOK,R_23eD9Db68xpXl0d,16.0
2021-09-01,27.49,1.0,NE,ACT Made Simple: An Easy-to-Read Primer on Acceptance and Commitment Therapy (The New Harbinger Made Simple Series),1684033012,ABIS_BOOK,R_8IeIAMii7jy4OdP,27.49
2018-05-21,43.01,1.0,NE,Adobe After Effects CC Classroom in a Book (2018 release),0134853253,ABIS_BOOK,R_1CrP2yfBldcblJm,43.01
2019-11-07,13.44,1.0,NE,Adult All-In-One Course: Lesson-Theory-Technic: Level 1,0882848186,ABIS_BOOK,R_u94bdSj5JBe7WZb,13.44
2022-09-26,11.72,1.0,NE,After (The After Series),1982128402,ABIS_BOOK,R_3oQSXNZTcp9yWWl,11.72
2018-08-09,16.38,1.0,NE,"Aging, the Individual, and Society",1285746619,ABIS_BOOK,R_3oQSXNZTcp9yWWl,16.38
2022-02-20,8.08,1.0,NE,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",0689711735,ABIS_BOOK,R_2ugDyrE1yi1FjvH,8.08
2020-06-16,16.3,1.0,NE,"Alfred's Basic Adult Piano Course, All-In-One, Level 2 w/CD [STUDENT EDITION]",0882849948,ABIS_BOOK,R_u94bdSj5JBe7WZb,16.3
2022-04-27,21.49,1.0,NE,Alice's Adventures in Wonderland and Through the Looking Glass (Penguin Clothbound Classics),0141192461,ABIS_BOOK,R_4H1P1VB5jWW4sY9,21.49
2019-02-23,80.0,1.0,NE,Aliens Omnibus 6,1595822143,ABIS_BOOK,R_3HLZ94fSYlErqm4,80.0
2021-07-14,9.91,1.0,NE,All Aboard! National Parks: A Wildlife Primer (Lucy Darling),1423642368,ABIS_BOOK,R_2ugDyrE1yi1FjvH,9.91
2018-05-22,7.19,1.0,NE,All Paws on Deck! (Paw Patrol): Activity Book with Paintbrush and 16 Watercolors,0385384467,ABIS_BOOK,R_2ugDyrE1yi1FjvH,7.19
2019-08-26,12.0,1.0,NE,All Your Base Are Belong to Us: How Fifty Years of Videogames Conquered Pop Culture,0307463559,ABIS_BOOK,R_23eD9Db68xpXl0d,12.0
2019-03-25,19.95,1.0,NE,Amazing Tales (AMZ001),9493010007,ABIS_BOOK,R_2YER9r6cGtKk7a7,19.95
2021-01-26,32.29,1.0,NE,An Introduction to Human-Environment Geography: Local Dynamics and Global Processes,1405189312,ABIS_BOOK,R_1CrP2yfBldcblJm,32.29
2019-03-30,17.96,1.0,NE,Angelarium: Oracle of Emanations,0738754331,ABIS_BOOK,R_1IzrCDFm7It9xYW,17.96
2022-07-14,5.99,1.0,NE,Aprender a Escribir Letras y Números Para Niños: Libro de actividades preescolar: Libro de escritura para niños +3 anôs (Spanish Edition),B08TZBTYCT,ABIS_BOOK,R_3h3VYxug5MmQXfO,5.99
2021-10-12,18.99,1.0,NE,Aristotle and Dante Discover the Secrets of the Universe,1442408928,ABIS_BOOK,R_23eD9Db68xpXl0d,18.99
2021-10-12,15.99,1.0,NE,Aristotle and Dante Dive into the Waters of the World,153449619X,ABIS_BOOK,R_23eD9Db68xpXl0d,15.99
2020-12-05,12.49,1.0,NE,Art of Coloring: Disney Animals: 100 Images to Inspire Creativity and Relaxation,1484758390,ABIS_BOOK,R_3fJXgeZMDEMzirc,12.49
2018-08-23,37.9,1.0,NE,Assessment Accommodations for Classroom Teachers of Culturally and Linguistically Diverse Students (2nd Edition) (Pearson Resources for Teaching English Learners),0132853353,ABIS_BOOK,R_4H1P1VB5jWW4sY9,37.9
2021-05-31,65.99,1.0,NE,Atlas of Human Anatomy Elsevier eBook on VitalSource (Retail Access Card) (Netter Basic Science),0323547095,ABIS_BOOK,R_cBcMo7c8BGeWv85,65.99
2019-08-06,37.32,1.0,NE,"Attacking Network Protocols: A Hacker's Guide to Capture, Analysis, and Exploitation",1593277504,ABIS_BOOK,R_2wmCdm6ETy6g3k0,37.32
2020-01-15,44.56,1.0,NE,"Attention-Deficit Hyperactivity Disorder, Fourth Edition: A Handbook for Diagnosis and Treatment",1462538878,ABIS_BOOK,R_8IeIAMii7jy4OdP,44.56
2019-08-27,25.0,1.0,NE,"Available Means: An Anthology of Women's Rhetoric(s) (Pittsburgh Series in Composition, Literacy, and Culture)",0822957531,ABIS_BOOK,R_23eD9Db68xpXl0d,25.0
2022-10-20,12.69,1.0,NE,Awesome Engineering Activities for Kids: 50+ Exciting STEAM Projects to Design and Build (Awesome STEAM Activities for Kids),1641523697,ABIS_BOOK,R_1MQJZk1ALfEkRX3,12.69
2018-07-24,7.95,1.0,NE,Babar and His Family (Babar (Harry N. Abrams)),1419702637,ABIS_BOOK,R_2sSaxHDwxRTJZP3,7.95
2018-07-24,7.95,1.0,NE,Babar and the New Baby,1419706209,ABIS_BOOK,R_2sSaxHDwxRTJZP3,7.95
2022-02-23,9.99,1.0,NE,Baby Einstein Backyard All Year Touch and Feel Board Book,1680522248,ABIS_BOOK,R_2ugDyrE1yi1FjvH,9.99
2018-11-26,5.99,1.0,NE,Baby Touch and Feel: Animals,0756634687,ABIS_BOOK,R_2ugDyrE1yi1FjvH,5.99
2022-06-30,8.99,1.0,NE,Baby's First Book of Birds & Colors,1580897428,ABIS_BOOK,R_8IeIAMii7jy4OdP,8.99
2023-02-11,20.86,1.0,NE,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,0744080045,ABIS_BOOK,R_23eD9Db68xpXl0d,20.86
2020-03-26,10.99,1.0,NE,Barbarians at the Gate: The Fall of RJR Nabisco,0061655554,ABIS_BOOK,R_2ugDyrE1yi1FjvH,10.99
2019-10-08,15.69,1.0,NE,"Barron's SAT Subject Test U.S. History, 4th Edition: with Bonus Online Tests",1438010745,ABIS_BOOK,R_3hnGRijfFuA2CwU,15.69
2020-11-25,11.49,1.0,NE,Beauty and the Beast Girl,1626929777,ABIS_BOOK,R_23eD9Db68xpXl0d,11.49
2021-04-03,9.89,1.0,NE,Bees in Clover,0880194499,ABIS_BOOK,R_3sA19vqjjKuEHgA,9.89
2021-01-30,10.78,1.0,NE,Before I Was Born: God Knew My Name (God's Design for Sex),164158145X,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,10.78
2018-12-12,74.99,1.0,NE,Behavioral Consultation in Applied Settings: An Individual Guide (Applied Clinical Psychology),030643346X,ABIS_BOOK,R_8IeIAMii7jy4OdP,74.99
2021-12-09,24.99,1.0,NE,Ben Folds - The Best Imitation of Myself,0739086685,ABIS_BOOK,R_3hnGRijfFuA2CwU,24.99
2021-04-08,8.99,1.0,NE,Best-Loved Hymns: Easy Piano,1423444094,ABIS_BOOK,R_3sA19vqjjKuEHgA,8.99
2020-01-27,11.49,1.0,NE,"Better: How I Let Go of Control, Held On to Hope, and Found Joy in My Darkest Hour",0553391461,ABIS_BOOK,R_3oQSXNZTcp9yWWl,11.49
2021-11-16,9.0,1.0,NE,Big Shot Diary of a Wimpy Kid Book 16,1419749153,ABIS_BOOK,R_plp4APP7ieUnHfH,9.0
2021-05-26,13.99,1.0,NE,Birds of Nebraska Field Guide,1591930170,ABIS_BOOK,R_8IeIAMii7jy4OdP,13.99
2018-04-14,5.21,1.0,NE,Birds of the Midwest: Identify Backyard Birds with Ease (Adventure Quick Guides),1591934060,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,5.21
2020-11-18,17.56,1.0,NE,Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,1982133279,ABIS_BOOK,R_3oQSXNZTcp9yWWl,17.56
2018-09-06,5.49,1.0,NE,"Block Book Rev Edition (Naeyc, #132)",0912674865,ABIS_BOOK,R_XYeZSVkzBQBQtBD,5.49
2021-05-15,17.62,1.0,NE,Blue Giant Omnibus Vols. 3-4,1645058654,ABIS_BOOK,R_23eD9Db68xpXl0d,17.62
2020-12-19,17.99,1.0,NE,"Bob Books: Sight Words, 1st Grade",0545019249,ABIS_BOOK,R_1CrP2yfBldcblJm,17.99
2022-12-01,12.79,1.0,NE,Bodies Are Cool,0593112628,ABIS_BOOK,R_8HRJ8Fkl4NqgX4t,12.79
2022-11-06,16.99,1.0,NE,Borrow My Brave,1945620773,ABIS_BOOK,R_06RZP9pS7kONINr,16.99
2021-11-06,21.05,1.0,NE,Both/And: A Memoir,1501194801,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,21.05
2020-06-30,13.69,1.0,NE,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",1571313567,ABIS_BOOK,R_1Oq3DG0zY5vXXn7,13.69
2020-01-01,6.36,1.0,NE,"Breast Cancer Treatment Handbook, 9th Edition (2017)",1886665338,ABIS_BOOK,R_3sA19vqjjKuEHgA,6.36
2018-07-21,3.51,1.0,NE,Bright Baby Touch & Feel Baby Animals (Bright Baby Touch and Feel),0312498586,ABIS_BOOK,R_XYeZSVkzBQBQtBD,3.51
2022-02-04,4.7,1.0,NE,Bright Baby Touch & Feel Baby Animals (Bright Baby Touch and Feel),0312498586,ABIS_BOOK,R_2ugDyrE1yi1FjvH,4.7
2022-01-25,5.36,1.0,NE,"Brown Bear, Brown Bear, What Do You See?",0805047905,ABIS_BOOK,R_2ugDyrE1yi1FjvH,5.36
2021-04-03,1.5,1.0,NE,Buddie and I,0834112167,ABIS_BOOK,R_3sA19vqjjKuEHgA,1.5
2023-02-18,138.95,1.0,NE,"Bundle: American Government: Institutions and Policies, Brief Version, Loose-Leaf Version, 13th + MindTap Political Science, 1 term (6 months) Printed Access Card",1337753424,ABIS_BOOK,R_2wmCdm6ETy6g3k0,138.95
2021-11-07,6.99,1.0,NE,Burn After Writing (Pink),0593329910,ABIS_BOOK,R_2uyM0V9lBjTJRuT,6.99
2019-06-24,8.95,1.0,NE,Butterflies of the Midwest: Identify Butterflies with Ease (Adventure Quick Guides),1591935202,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,8.95
2021-12-25,11.74,1.0,NE,Butterfly Pit Crew,0997150505,ABIS_BOOK,R_06RZP9pS7kONINr,11.74
2022-09-26,28.99,1.0,NE,CSCS Exam Prep 2022 - 2023: Study Guide Book with Practice Tests for the NSCA Certified Strength and Conditioning Specialist Assessment: [5th Edition],1637750951,ABIS_BOOK,R_cBcMo7c8BGeWv85,28.99
2020-07-05,16.39,1.0,NE,Capital in the Twenty-First Century,0674979850,ABIS_BOOK,R_2ugDyrE1yi1FjvH,16.39
2020-07-05,13.39,1.0,NE,Capitalism in America: An Economic History of the United States,0735222460,ABIS_BOOK,R_2ugDyrE1yi1FjvH,13.39
2020-04-14,2.99,1.0,NE,"Carson Dellosa Addition Flash Cards for Kids Ages 6+, Addition Flash Cards, 1st Grade Facts 0-12, Kindergarten, 1st Grade, and 2nd Grade, Math Addition Flash Cards for Ages 6+",0769677118,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,2.99
2020-04-14,2.99,1.0,NE,"Carson Dellosa Subtraction Flash Cards, Subtraction Facts 0-12 Flash Cards, Math Games for Kids Ages 6+, Kindergarten, 1st Grade, and 2nd Grade Math Flash Cards",0769677215,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,2.99
2020-11-27,5.99,1.0,NE,"Cat Butt Christmas: A Xmas Coloring Book (Purr-fect Gifts for B-days, Holidays, White Elephant & more!)",1733702229,ABIS_BOOK,R_2uyM0V9lBjTJRuT,5.99
2022-04-03,6.49,1.0,NE,Caterpillar Summer,1547603143,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,6.49
2020-04-02,10.33,1.0,NE,"Celestial One Line a Day (Blank Journal for Daily Reflections, 5 Year Diary Book)",1452164606,ABIS_BOOK,R_4H1P1VB5jWW4sY9,10.33
2021-08-13,11.19,1.0,NE,"Chemistry: An Introduction to General, Organic, and Biological Chemistry (12th Edition) - Standalone book",0321908449,ABIS_BOOK,R_3oQSXNZTcp9yWWl,11.19
2019-01-07,78.72,1.0,NE,"Child Psychopathology, Third Edition",1462516688,ABIS_BOOK,R_8IeIAMii7jy4OdP,78.72
2021-05-15,17.22,1.0,NE,Chobits 20th Anniversary Edition 2,1646510178,ABIS_BOOK,R_23eD9Db68xpXl0d,17.22
2021-05-15,21.71,1.0,NE,Chobits 20th Anniversary Edition 3,1646510186,ABIS_BOOK,R_23eD9Db68xpXl0d,21.71
2021-05-15,24.99,1.0,NE,Chobits 20th Anniversary Edition 4,1646510194,ABIS_BOOK,R_23eD9Db68xpXl0d,24.99
2021-12-27,13.99,1.0,NE,Citrus Plus Vol. 1,1642756881,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Plus Vol. 3,1648279252,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2022-10-07,13.99,1.0,NE,Citrus Plus Vol. 4,1638585261,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 1 (English Version),1626921407,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.29,1.0,NE,Citrus Vol. 2,1626921415,ABIS_BOOK,R_23eD9Db68xpXl0d,13.29
2021-12-27,13.99,1.0,NE,Citrus Vol. 3,1626921644,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 4,1626922179,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 5,1626922675,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 6,1626925127,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 7,1626926859,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,13.99,1.0,NE,Citrus Vol. 8,1626928940,ABIS_BOOK,R_23eD9Db68xpXl0d,13.99
2021-12-27,12.49,1.0,NE,Citrus Vol. 9,1642750115,ABIS_BOOK,R_23eD9Db68xpXl0d,12.49
2022-12-23,16.69,1.0,NE,CliftonStrengths for Students,1595621253,ABIS_BOOK,R_3oQSXNZTcp9yWWl,16.69
2020-09-05,46.0,1.0,NE,"Clinical Interviews for Children and Adolescents, Second Edition: Assessment to Intervention (The Guilford Practical Intervention in the Schools Series)",1462508413,ABIS_BOOK,R_8IeIAMii7jy4OdP,46.0
2020-09-05,32.0,1.0,NE,Clinical Practice of Cognitive Therapy with Children and Adolescents: The Nuts and Bolts,1462535879,ABIS_BOOK,R_8IeIAMii7jy4OdP,32.0
2021-01-31,10.99,1.0,NE,Coffee Self-Talk: 5 Minutes a Day to Start Living Your Magical Life,0982372264,ABIS_BOOK,R_3oQSXNZTcp9yWWl,10.99
2018-07-23,7.36,1.0,NE,Color Me Butterfly: A Novel Inspired by One Family's Journey from Tragedy to Triumph,0307716619,ABIS_BOOK,R_A1fku0XPEwwfhC1,7.36
2021-11-25,14.49,1.0,NE,Coming Home for Christmas (Haven Point),1643586726,ABIS_BOOK,R_3s6ANl73k2a38Oz,14.49
2019-01-03,23.79,1.0,NE,Community Literacy and the Rhetoric of Public Engagement,0809328526,ABIS_BOOK,R_23eD9Db68xpXl0d,23.79
2020-12-10,16.99,1.0,NE,"Complete Guide to Soap Carving: Tools, Techniques, and Tips (Fox Chapel Publishing) 26 Step-by-Step Projects & Comprehensive Guide, from Basic Methods for Beginners to Advanced Techniques for Artists",1565239210,ABIS_BOOK,R_3NFoQj51yPZZy6Y,16.99
2018-01-05,8.85,1.0,NE,"Computer Architecture: A Quantitative Approach, 3rd Edition",1558605967,ABIS_BOOK,R_2wmCdm6ETy6g3k0,8.85
2018-01-02,75.94,1.0,NE,Computer Networks (5th Edition),132126958,ABIS_BOOK,R_2wmCdm6ETy6g3k0,75.94
2018-01-18,39.67,1.0,NE,Computer Organization and Architecture,134101618,ABIS_BOOK,R_2wmCdm6ETy6g3k0,39.67
2023-02-18,13.39,1.0,NE,"Concepts of Biology by OpenStax (Official Print Version, paperback, B&amp;W)",1506696538,ABIS_BOOK,R_2wmCdm6ETy6g3k0,13.39
2018-01-15,43.49,1.0,NE,Contemporary Issues in Curriculum (Allyn & Bacon Educational Leadership),0133259978,ABIS_BOOK,R_8IeIAMii7jy4OdP,43.49
2018-01-23,38.49,1.0,NE,"Creating Meaning Through Literature and the Arts: Arts Integration for Classroom Teachers, Loose-Leaf Version (5th Edition)",0133519228,ABIS_BOOK,R_4H1P1VB5jWW4sY9,38.49
2018-04-08,29.95,1.0,NE,Creating the Schools Our Children Need: Why What We're Doing Now Won't Help Much (And What We Can Do Instead),1943920338,ABIS_BOOK,R_3hnGRijfFuA2CwU,29.95
2022-06-06,5.99,1.0,NE,Creative Haven Unicorn Wonders Coloring Book (Creative Haven Coloring Books),0486847551,ABIS_BOOK,R_2ugDyrE1yi1FjvH,5.99
2021-05-05,26.02,1.0,NE,Critical Role: Vox Machina Origins Library Edition: Series I & II Collection,1506721737,ABIS_BOOK,R_23eD9Db68xpXl0d,26.02
2022-08-05,24.99,1.0,NE,"Crochet Your Own Kawaii Animal Cuties: Includes 12 Adorable Patterns and Materials to Make a Shiba Puppy and Sloth - Inside: 64 page book, Crochet ... floss, Embroidery needle, Fiberfill stuffing",0760371113,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,24.99
2018-12-12,47.88,1.0,NE,"Cryptography and Network Security: Principles and Practice, Global Edition",1292158581,ABIS_BOOK,R_2wmCdm6ETy6g3k0,47.88
2022-02-24,26.43,1.0,NE,Curious George Classic Collection,0544562399,ABIS_BOOK,R_2ugDyrE1yi1FjvH,26.43
2019-01-29,23.4,1.0,NE,Cybertext: Perspectives on Ergodic Literature,0801855799,ABIS_BOOK,R_23eD9Db68xpXl0d,23.4
2019-01-16,9.9,1.0,NE,DSM-5 Repositionable Page Markers,0890425582,ABIS_BOOK,R_8IeIAMii7jy4OdP,9.9
2018-09-11,33.59,1.0,NE,Daily Geography Grade 7,0812370309,ABIS_BOOK,R_4H1P1VB5jWW4sY9,33.59
2021-12-25,10.39,1.0,NE,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,0399592520,ABIS_BOOK,R_plp4APP7ieUnHfH,10.39
2018-02-13,10.21,1.0,NE,"Darker: Fifty Shades Darker as Told by Christian (Fifty Shades Of Grey Series, 5)",0385543913,ABIS_BOOK,R_2XbKIBwSCWm3wDJ,10.21
2019-08-26,16.0,1.0,NE,Days of Blue and Flame,0996972692,ABIS_BOOK,R_23eD9Db68xpXl0d,16.0
2022-04-21,8.57,1.0,NE,"Dear Girl,: A Celebration of Wonderful, Smart, Beautiful You!",0062422502,ABIS_BOOK,R_2ugDyrE1yi1FjvH,8.57
2019-11-15,16.46,1.0,NE,Death Dealer: The Memoirs of the SS Kommandant at Auschwitz,0306806983,ABIS_BOOK,R_8IeIAMii7jy4OdP,16.46
2021-11-27,7.7,1.0,NE,Deer Hunting for Kids (Into the Great Outdoors),1429692677,ABIS_BOOK,R_2ugDyrE1yi1FjvH,7.7
2019-08-26,8.99,1.0,NE,Developing Double Stops for Violin (Rubank Educational Library),1423444906,ABIS_BOOK,R_2ugDyrE1yi1FjvH,8.99
2018-11-26,4.95,1.0,NE,Devotion to the Sorrowful Mother,0895557266,ABIS_BOOK,R_3h3VYxug5MmQXfO,4.95
2020-12-21,22.99,1.0,NE,Devotions: The Selected Poems of Mary Oliver,0399563245,ABIS_BOOK,R_3rHSccsh0mlkeuy,22.99
2020-05-08,8.99,1.0,NE,Diary of a 6th Grade Ninja,1493527487,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,8.99
2021-04-05,31.75,1.0,NE,Diary of a Wimpy Kid Box of Books,0141341416,ABIS_BOOK,R_plp4APP7ieUnHfH,31.75
2018-08-02,19.99,1.0,NE,Digital Archaeology: The Art and Science of Digital Forensics,321803906,ABIS_BOOK,R_2wmCdm6ETy6g3k0,19.99
2019-08-16,22.55,1.0,NE,Digital Humanitarians: How Big Data Is Changing the Face of Humanitarian Response,1482248395,ABIS_BOOK,R_12mdsq5k8OiJ8ji,22.55
2022-11-25,16.49,1.0,NE,Dining In: Highly Cookable Recipes: A Cookbook,045149699X,ABIS_BOOK,R_plp4APP7ieUnHfH,16.49
2020-01-04,10.69,1.0,NE,Discipline & Punish: The Birth of the Prison,0679752552,ABIS_BOOK,R_23eD9Db68xpXl0d,10.69
2019-12-09,7.99,1.0,NE,Discovery: Honk on the Road! (10-Button Sound Books),1684126878,ABIS_BOOK,R_1MQJZk1ALfEkRX3,7.99
2020-11-27,8.99,1.0,NE,Disney Frozen - Let It Go Little Music Note Sound Book - PI Kids (Play-A-Song),1450893481,ABIS_BOOK,R_2ugDyrE1yi1FjvH,8.99
2019-10-30,27.9,1.0,NE,Disney Villains: Delightfully Evil: The Creation • The Inspiration • The Fascination (Disney Editions Deluxe),1484726782,ABIS_BOOK,R_2sSaxHDwxRTJZP3,27.9
2020-09-05,71.34,1.0,NE,Disruptive Behavior Disorders: Evidence-Based Practice for Assessment and Intervention,1462521290,ABIS_BOOK,R_8IeIAMii7jy4OdP,71.34
2021-05-17,29.99,1.0,NE,Dissertations and Theses From Start to Finish: Psychology and Related Fields,1433830647,ABIS_BOOK,R_8IeIAMii7jy4OdP,29.99
2020-01-18,9.79,1.0,NE,"District Doubleheader (Little League, 2)",031619915X,ABIS_BOOK,R_3oQSXNZTcp9yWWl,9.79
2021-10-20,25.0,1.0,NE,Divine Names: The 99 Healing Names of the One Love,1566569877,ABIS_BOOK,R_1Oq3DG0zY5vXXn7,25.0
2018-08-21,12.92,1.0,NE,Do Androids Dream of Electric Sheep?: The inspiration for the films Blade Runner and Blade Runner 2049,0345404475,ABIS_BOOK,R_23eD9Db68xpXl0d,12.92
2021-09-25,10.39,2.0,NE,"Do Your Laundry or You'll Die Alone: Advice Your Mom Would Give if She Thought You Were Listening (A Fun and Inspiring Gift for Teen Girls, Daughters, or College-Bound Students)",1492635154,ABIS_BOOK,R_3oQSXNZTcp9yWWl,20.78
2019-06-02,8.99,1.0,NE,Dog Farts: Pooter's Revenge (The Disgusting Adventures of Milo Snotrocket),148498384X,ABIS_BOOK,R_12mdsq5k8OiJ8ji,8.99
2020-01-27,6.99,1.0,NE,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),0545935180,ABIS_BOOK,R_cZ53Ayfo9vbj7EZ,6.99
2023-01-22,17.99,1.0,NE,"Don't F*cking Panic: The Shit They Don’t Tell You in Therapy About Anxiety Disorder, Panic Attacks, & Depression",194975927X,ABIS_BOOK,R_3oQSXNZTcp9yWWl,17.99
2023-01-22,12.39,1.0,NE,Don't Panic Third Edition: Taking Control of Anxiety Attacks (Newest Edition),0061582441,ABIS_BOOK,R_3oQSXNZTcp9yWWl,12.39
2018-01-12,2.98,1.0,NE,Don't Stand too close to a Naked Man,B000K0POG0,ABIS_BOOK,R_2ugDyrE1yi1FjvH,2.98
2021-10-04,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 10",1647290031,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2022-04-07,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 11",1647290929,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2022-07-18,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 12",164729150X,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2022-07-18,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 13",1647291658,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2022-11-21,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 14",1647292255,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2021-07-09,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 4",1949980480,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2021-07-14,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 5",1949980855,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2021-08-21,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 8",1647290503,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2021-08-21,11.66,1.0,NE,"Don't Toy With Me, Miss Nagatoro 9",1647290724,ABIS_BOOK,R_23eD9Db68xpXl0d,11.66
2022-08-23,58.55,1.0,NE,"Don't Toy with Me, Miss Nagatoro Manga Box Set",1647291674,ABIS_BOOK,R_23eD9Db68xpXl0d,58.55
2022-04-06,8.78,1.0,NE,Double Down (Diary of a Wimpy Kid #11),1419741977,ABIS_BOOK,R_plp4APP7ieUnHfH,8.78
